paragraph_number,element_type,element_code,footnote_number,footnote_content,paragraph_text_preview
993,,,2567,"P-2625: T-189, p. 22, line 25 -- p. 23, line 14, p. 31, line 19 -- p. 32, line 15.","Adrien Poussou, a journalist involved in meetings in Cameroon as outlined above, testified that mid- or end July 2013, he became aware that François Bozizé was in France and he met him on several occasions, including when arranging for Ghislaine Dupont to interview François Bozizé."
994,,,2568,"Press article, CAR-OTP-2091-1804, at 1804; Audio, CAR-OTP-00036359, at 00:00:57-00:01:43; Transcript, CAR-OTP-00036817, at 0002, lines 19-25.","The above-mentioned interview of François Bozizé is available to the Chamber. Therein, he mentions being surrounded by compatriots with whom they discussed and agreed to set up a structure called 'Front pour le retour à l'ordre constitutionnel en Centrafrique (Frocca)', with the goal to closely follow and denounce events in the country with a view to informing the international community. Asked whether return to constitutional order means he would want to re-take power, he answers, 'Oui. Reprendre le pouvoir. Si l'occasion se présente, je le \[...\] ferai'. Further asked whether this would be by political or military means, he answers, 'Oh, la voie politique puisque...la voie des armes ne vient que lorsque la solution politique n'est pas trouvée, bon ben...on choisit la voie des armes. Ça a été toujours comme ça'. He refutes that he would have deployed military along the Oubangui in the DRC, in particular Captain Ngaikosset, stating that that is invented and that he only knows Ngaikosset is a refugee in the DRC. He also blames Chad for helping the Seleka to take power and when asked whether he hopes to take back the presidential seat one day, he says, 'Mais, la démarche n'est pas une démarche brutale c'est voir les voies et moyens qui puissent nous permettre de sauver ce peuple, ce pays, qui a trop souffert'."
994,,,2569,"Audio, CAR-OTP-00036359, at 00:01:49-00:01:59; Transcript, CAR-OTP-00036817, at 0002, lines 28-30. *See also* Press article, CAR-OTP-2091-1804, at 1804.","The above-mentioned interview of François Bozizé is available to the Chamber. Therein, he mentions being surrounded by compatriots with whom they discussed and agreed to set up a structure called 'Front pour le retour à l'ordre constitutionnel en Centrafrique (Frocca)', with the goal to closely follow and denounce events in the country with a view to informing the international community. Asked whether return to constitutional order means he would want to re-take power, he answers, 'Oui. Reprendre le pouvoir. Si l'occasion se présente, je le \[...\] ferai'. Further asked whether this would be by political or military means, he answers, 'Oh, la voie politique puisque...la voie des armes ne vient que lorsque la solution politique n'est pas trouvée, bon ben...on choisit la voie des armes. Ça a été toujours comme ça'. He refutes that he would have deployed military along the Oubangui in the DRC, in particular Captain Ngaikosset, stating that that is invented and that he only knows Ngaikosset is a refugee in the DRC. He also blames Chad for helping the Seleka to take power and when asked whether he hopes to take back the presidential seat one day, he says, 'Mais, la démarche n'est pas une démarche brutale c'est voir les voies et moyens qui puissent nous permettre de sauver ce peuple, ce pays, qui a trop souffert'."
994,,,2570,"Audio, CAR-OTP-00036359, at 00:01:59-00:02:13; Transcript, CAR-OTP-00036817, at 0002, lines 31-33. *See also* Press article, CAR-OTP-2091-1804, at 1804.","The above-mentioned interview of François Bozizé is available to the Chamber. Therein, he mentions being surrounded by compatriots with whom they discussed and agreed to set up a structure called 'Front pour le retour à l'ordre constitutionnel en Centrafrique (Frocca)', with the goal to closely follow and denounce events in the country with a view to informing the international community. Asked whether return to constitutional order means he would want to re-take power, he answers, 'Oui. Reprendre le pouvoir. Si l'occasion se présente, je le \[...\] ferai'. Further asked whether this would be by political or military means, he answers, 'Oh, la voie politique puisque...la voie des armes ne vient que lorsque la solution politique n'est pas trouvée, bon ben...on choisit la voie des armes. Ça a été toujours comme ça'. He refutes that he would have deployed military along the Oubangui in the DRC, in particular Captain Ngaikosset, stating that that is invented and that he only knows Ngaikosset is a refugee in the DRC. He also blames Chad for helping the Seleka to take power and when asked whether he hopes to take back the presidential seat one day, he says, 'Mais, la démarche n'est pas une démarche brutale c'est voir les voies et moyens qui puissent nous permettre de sauver ce peuple, ce pays, qui a trop souffert'."
994,,,2571,"Press article, CAR-OTP-2091-1804, at 1805; Audio, CAR-OTP-00036359, at 00:02:13-00:02:40; Transcript, CAR-OTP-00036817, at 0002, lines 34-38.","The above-mentioned interview of François Bozizé is available to the Chamber. Therein, he mentions being surrounded by compatriots with whom they discussed and agreed to set up a structure called 'Front pour le retour à l'ordre constitutionnel en Centrafrique (Frocca)', with the goal to closely follow and denounce events in the country with a view to informing the international community. Asked whether return to constitutional order means he would want to re-take power, he answers, 'Oui. Reprendre le pouvoir. Si l'occasion se présente, je le \[...\] ferai'. Further asked whether this would be by political or military means, he answers, 'Oh, la voie politique puisque...la voie des armes ne vient que lorsque la solution politique n'est pas trouvée, bon ben...on choisit la voie des armes. Ça a été toujours comme ça'. He refutes that he would have deployed military along the Oubangui in the DRC, in particular Captain Ngaikosset, stating that that is invented and that he only knows Ngaikosset is a refugee in the DRC. He also blames Chad for helping the Seleka to take power and when asked whether he hopes to take back the presidential seat one day, he says, 'Mais, la démarche n'est pas une démarche brutale c'est voir les voies et moyens qui puissent nous permettre de sauver ce peuple, ce pays, qui a trop souffert'."
994,,,2572,"Press article, CAR-OTP-2091-1804, at 1805; Audio, CAR-OTP-00036359, at 00:02:40-00:03:15; Transcript, CAR-OTP-00036817, at 0003, lines 39-49.","The above-mentioned interview of François Bozizé is available to the Chamber. Therein, he mentions being surrounded by compatriots with whom they discussed and agreed to set up a structure called 'Front pour le retour à l'ordre constitutionnel en Centrafrique (Frocca)', with the goal to closely follow and denounce events in the country with a view to informing the international community. Asked whether return to constitutional order means he would want to re-take power, he answers, 'Oui. Reprendre le pouvoir. Si l'occasion se présente, je le \[...\] ferai'. Further asked whether this would be by political or military means, he answers, 'Oh, la voie politique puisque...la voie des armes ne vient que lorsque la solution politique n'est pas trouvée, bon ben...on choisit la voie des armes. Ça a été toujours comme ça'. He refutes that he would have deployed military along the Oubangui in the DRC, in particular Captain Ngaikosset, stating that that is invented and that he only knows Ngaikosset is a refugee in the DRC. He also blames Chad for helping the Seleka to take power and when asked whether he hopes to take back the presidential seat one day, he says, 'Mais, la démarche n'est pas une démarche brutale c'est voir les voies et moyens qui puissent nous permettre de sauver ce peuple, ce pays, qui a trop souffert'."
994,,,2573,"Audio, CAR-OTP-00036359, at 00:05:05-00:05:34; Transcript, CAR-OTP-00036817, at 0003, lines 72-76. *See also* Press article, CAR-OTP-2091-1804, at 1805.","The above-mentioned interview of François Bozizé is available to the Chamber. Therein, he mentions being surrounded by compatriots with whom they discussed and agreed to set up a structure called 'Front pour le retour à l'ordre constitutionnel en Centrafrique (Frocca)', with the goal to closely follow and denounce events in the country with a view to informing the international community. Asked whether return to constitutional order means he would want to re-take power, he answers, 'Oui. Reprendre le pouvoir. Si l'occasion se présente, je le \[...\] ferai'. Further asked whether this would be by political or military means, he answers, 'Oh, la voie politique puisque...la voie des armes ne vient que lorsque la solution politique n'est pas trouvée, bon ben...on choisit la voie des armes. Ça a été toujours comme ça'. He refutes that he would have deployed military along the Oubangui in the DRC, in particular Captain Ngaikosset, stating that that is invented and that he only knows Ngaikosset is a refugee in the DRC. He also blames Chad for helping the Seleka to take power and when asked whether he hopes to take back the presidential seat one day, he says, 'Mais, la démarche n'est pas une démarche brutale c'est voir les voies et moyens qui puissent nous permettre de sauver ce peuple, ce pays, qui a trop souffert'."
995,,,2574,"Press article, CAR-OTP-2001-4146, at 4148.","In other supposed interviews at the time, François Bozizé is reported as stating that since he did not finish his mandate to expire in 2016, return to the constitution adopted in 2004 is a non-negotiable pre-condition, following which he would be open to dialogue with all Central Africans; while when asked whether he counts on taking up arms and launching a 'guerilla', he is reported as stating, 'Je ne m'interdis rien, mais ce n'est pas d'actualité. Je veux sensibiliser la communauté internationale aux souffrances de mon peuple. \[...\]'; asked which lesson to learn, says 'Ce monde, c'est la loi du plus fort. Mais les Centrafricains doivent savoir que Bozizé ne les abandonnera pas'."
996,,,2575,"Press article, CAR-OTP-2091-1783.","In what appears to be the publication of another interview some months later, François Bozizé is reported as reproaching Djotodia for wanting to 'Islamise' the country, and later saying, '\[...\] je me dois de dénoncer les crimes de ceux qui oppriment mes concitoyens. Aussi, je voudrais interpeller tous les chefs d'Etat de la sous-région, les démocraties européennes et bien sûr la France qui a l'habitude de régler nos problems, pour leur demander de nous aider à faire partir ces bandits et rétablir la légalité constitutionnelle'."
997,,,2576,"Press article, CAR-OTP-2069-3540, at 3541.","In what appears to be the publication of an interview with Lin Banoukepa in August 2013, the latter is reported as, inter alia, presenting himself as coordinator of FROCCA, stating that everyone knows the Seleka has a hidden agenda to impose Islam, and as listing the objectives of FROCCA as re-establishing constitutional order, establishing power which separates state and religion and is democratic, respecting freedoms and rights of individuals, based on law and not 'Salafist religious dogmas'."
998,,,,,"The Chamber also heard evidence of witnesses who were present at the meeting at which the creation of FROCCA was announced, as well as meetings following thereafter, as outlined below."
999,,,2577,"P-2625: T-189, p. 23, line 15 -- p. 24, line 2.","Adrien Poussou testified that the meeting he was invited to by François Bozizé was at the Novotel or one of the Accor Group hotels not far from Châtelet, and Adrien Poussou went in company of Martial Kombo. Individuals attending the meeting included Martial Kombo, Kokaté, Mr Ngaïssona, Francis Bozizé, Jean-Serge Wafio, Levy Yakété; Yves Songuet was to Adrien Poussou's knowledge not at that meeting, but he attended other meetings. Approximately a dozen, maybe 20 people attended this meeting which was chaired by François Bozizé and had been presented as a meeting between him and the Central African diaspora. François Bozizé presented his view of the situation in the country, the need to set up an organisation that would drive the demands for change, and asked the participants to make proposals to name or organise this. Adrien Poussou thought that in reality the president and his entourage had already arranged this organisation beforehand, knew exactly what they wanted and after proposals were made, François Bozizé said, reading from a piece of paper, 'What if we called this organisation FROCCA (Front pour le retour à l'ordre constitutionel en Centrafrique)?'. The participants were unanimous. François Bozizé also informed the participants of the bureau's composition, that the person acting as executive director as deputy to him was Lin Banoukepa, and that Adrien Poussou was to be the spokesperson. The witness added that during the first meeting of FROCCA, just a few names were made public as belonging to the FROCCA bureau. When Adrien Poussou got the email, further discussed below, from Serefio, who was also present at this meeting, presenting the different topics and the members that would make up this bureau, Adrien Poussou realised that these were issues that they had been discussing together."
999,,,2578,"P-2625: T-189, p. 23, line 15 -- p. 24, line 2.","Adrien Poussou testified that the meeting he was invited to by François Bozizé was at the Novotel or one of the Accor Group hotels not far from Châtelet, and Adrien Poussou went in company of Martial Kombo. Individuals attending the meeting included Martial Kombo, Kokaté, Mr Ngaïssona, Francis Bozizé, Jean-Serge Wafio, Levy Yakété; Yves Songuet was to Adrien Poussou's knowledge not at that meeting, but he attended other meetings. Approximately a dozen, maybe 20 people attended this meeting which was chaired by François Bozizé and had been presented as a meeting between him and the Central African diaspora. François Bozizé presented his view of the situation in the country, the need to set up an organisation that would drive the demands for change, and asked the participants to make proposals to name or organise this. Adrien Poussou thought that in reality the president and his entourage had already arranged this organisation beforehand, knew exactly what they wanted and after proposals were made, François Bozizé said, reading from a piece of paper, 'What if we called this organisation FROCCA (Front pour le retour à l'ordre constitutionel en Centrafrique)?'. The participants were unanimous. François Bozizé also informed the participants of the bureau's composition, that the person acting as executive director as deputy to him was Lin Banoukepa, and that Adrien Poussou was to be the spokesperson. The witness added that during the first meeting of FROCCA, just a few names were made public as belonging to the FROCCA bureau. When Adrien Poussou got the email, further discussed below, from Serefio, who was also present at this meeting, presenting the different topics and the members that would make up this bureau, Adrien Poussou realised that these were issues that they had been discussing together."
999,,,2579,"P-2625: T-189, p. 25, line 1 -- p. 26, line 3; T-192, p. 63, line 13 -- p. 65, line 9.","Adrien Poussou testified that the meeting he was invited to by François Bozizé was at the Novotel or one of the Accor Group hotels not far from Châtelet, and Adrien Poussou went in company of Martial Kombo. Individuals attending the meeting included Martial Kombo, Kokaté, Mr Ngaïssona, Francis Bozizé, Jean-Serge Wafio, Levy Yakété; Yves Songuet was to Adrien Poussou's knowledge not at that meeting, but he attended other meetings. Approximately a dozen, maybe 20 people attended this meeting which was chaired by François Bozizé and had been presented as a meeting between him and the Central African diaspora. François Bozizé presented his view of the situation in the country, the need to set up an organisation that would drive the demands for change, and asked the participants to make proposals to name or organise this. Adrien Poussou thought that in reality the president and his entourage had already arranged this organisation beforehand, knew exactly what they wanted and after proposals were made, François Bozizé said, reading from a piece of paper, 'What if we called this organisation FROCCA (Front pour le retour à l'ordre constitutionel en Centrafrique)?'. The participants were unanimous. François Bozizé also informed the participants of the bureau's composition, that the person acting as executive director as deputy to him was Lin Banoukepa, and that Adrien Poussou was to be the spokesperson. The witness added that during the first meeting of FROCCA, just a few names were made public as belonging to the FROCCA bureau. When Adrien Poussou got the email, further discussed below, from Serefio, who was also present at this meeting, presenting the different topics and the members that would make up this bureau, Adrien Poussou realised that these were issues that they had been discussing together."
999,,,2580,"P-2625: T-189, p. 25, line 1 -- p. 26, line 3; T-192, p. 63, line 13 -- p. 65, line 9.","Adrien Poussou testified that the meeting he was invited to by François Bozizé was at the Novotel or one of the Accor Group hotels not far from Châtelet, and Adrien Poussou went in company of Martial Kombo. Individuals attending the meeting included Martial Kombo, Kokaté, Mr Ngaïssona, Francis Bozizé, Jean-Serge Wafio, Levy Yakété; Yves Songuet was to Adrien Poussou's knowledge not at that meeting, but he attended other meetings. Approximately a dozen, maybe 20 people attended this meeting which was chaired by François Bozizé and had been presented as a meeting between him and the Central African diaspora. François Bozizé presented his view of the situation in the country, the need to set up an organisation that would drive the demands for change, and asked the participants to make proposals to name or organise this. Adrien Poussou thought that in reality the president and his entourage had already arranged this organisation beforehand, knew exactly what they wanted and after proposals were made, François Bozizé said, reading from a piece of paper, 'What if we called this organisation FROCCA (Front pour le retour à l'ordre constitutionel en Centrafrique)?'. The participants were unanimous. François Bozizé also informed the participants of the bureau's composition, that the person acting as executive director as deputy to him was Lin Banoukepa, and that Adrien Poussou was to be the spokesperson. The witness added that during the first meeting of FROCCA, just a few names were made public as belonging to the FROCCA bureau. When Adrien Poussou got the email, further discussed below, from Serefio, who was also present at this meeting, presenting the different topics and the members that would make up this bureau, Adrien Poussou realised that these were issues that they had been discussing together."
999,,,2581,"P-2625: T-189, p. 27, line 21 -- p. 28, line 6; T-192, p. 65, line 13 -- p. 66, line 8.","Adrien Poussou testified that the meeting he was invited to by François Bozizé was at the Novotel or one of the Accor Group hotels not far from Châtelet, and Adrien Poussou went in company of Martial Kombo. Individuals attending the meeting included Martial Kombo, Kokaté, Mr Ngaïssona, Francis Bozizé, Jean-Serge Wafio, Levy Yakété; Yves Songuet was to Adrien Poussou's knowledge not at that meeting, but he attended other meetings. Approximately a dozen, maybe 20 people attended this meeting which was chaired by François Bozizé and had been presented as a meeting between him and the Central African diaspora. François Bozizé presented his view of the situation in the country, the need to set up an organisation that would drive the demands for change, and asked the participants to make proposals to name or organise this. Adrien Poussou thought that in reality the president and his entourage had already arranged this organisation beforehand, knew exactly what they wanted and after proposals were made, François Bozizé said, reading from a piece of paper, 'What if we called this organisation FROCCA (Front pour le retour à l'ordre constitutionel en Centrafrique)?'. The participants were unanimous. François Bozizé also informed the participants of the bureau's composition, that the person acting as executive director as deputy to him was Lin Banoukepa, and that Adrien Poussou was to be the spokesperson. The witness added that during the first meeting of FROCCA, just a few names were made public as belonging to the FROCCA bureau. When Adrien Poussou got the email, further discussed below, from Serefio, who was also present at this meeting, presenting the different topics and the members that would make up this bureau, Adrien Poussou realised that these were issues that they had been discussing together."
999,,,2582,"P-2625: T-192, p. 65, line 13 -- p. 66, line 8.","Adrien Poussou testified that the meeting he was invited to by François Bozizé was at the Novotel or one of the Accor Group hotels not far from Châtelet, and Adrien Poussou went in company of Martial Kombo. Individuals attending the meeting included Martial Kombo, Kokaté, Mr Ngaïssona, Francis Bozizé, Jean-Serge Wafio, Levy Yakété; Yves Songuet was to Adrien Poussou's knowledge not at that meeting, but he attended other meetings. Approximately a dozen, maybe 20 people attended this meeting which was chaired by François Bozizé and had been presented as a meeting between him and the Central African diaspora. François Bozizé presented his view of the situation in the country, the need to set up an organisation that would drive the demands for change, and asked the participants to make proposals to name or organise this. Adrien Poussou thought that in reality the president and his entourage had already arranged this organisation beforehand, knew exactly what they wanted and after proposals were made, François Bozizé said, reading from a piece of paper, 'What if we called this organisation FROCCA (Front pour le retour à l'ordre constitutionel en Centrafrique)?'. The participants were unanimous. François Bozizé also informed the participants of the bureau's composition, that the person acting as executive director as deputy to him was Lin Banoukepa, and that Adrien Poussou was to be the spokesperson. The witness added that during the first meeting of FROCCA, just a few names were made public as belonging to the FROCCA bureau. When Adrien Poussou got the email, further discussed below, from Serefio, who was also present at this meeting, presenting the different topics and the members that would make up this bureau, Adrien Poussou realised that these were issues that they had been discussing together."
